Image URL,Prompt
https://images.pexels.com/photos/135620/pexels-photo-135620.jpeg,"## Scenario: 

You are a mobile robotic assistant in a retail store specializing in handbags and footwear. A customer approaches you and asks for help finding a specific handbag. You need to identify the handbag and guide the customer to the correct location.


## Questions:

1.  The customer tells you they are looking for a black handbag with a gold clasp. Can you identify it in the image and describe its location? How would you guide the customer to the correct location? 
2. The customer decides they also want to try on a pair of black heeled sandals.  Where in the image are these sandals located? How would you reach the sandals and bring them to the customer? 
3. After trying on the sandals, the customer is interested in purchasing a matching handbag and wants to know if the store has any. Can you identify a handbag that would match the sandals in the image? What steps would you take to check if the store has this matching bag in stock?"
https://images.pexels.com/photos/2079438/pexels-photo-2079438.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

Imagine you are a **barista robot** working in this café. A customer has just ordered a ""Turkish Coffee"" and a ""Turkish Soda"".  

## Questions:

1.  **What ingredients would you need to prepare a Turkish Coffee?** (Please describe the step-by-step approach to identify the required ingredients)
2.  **Where are the ingredients stored?** (Please give step-by-step instructions on how you would get the ingredients, navigating through the cafe.)
3.  **What type of cup would you use to serve the Turkish Coffee?** (Please explain your reasoning, using the image as reference.)
4. **After preparing the Turkish Coffee, where would you place it before serving it to the customer?** (Please describe the path you would take with the coffee).
5.  **Where would you find the Turkish Soda?** (Please give step-by-step instructions on how you would find the soda, navigating through the cafe)
6.  **What is the best way to serve the Turkish Soda?** (Please describe how you would serve the Turkish Soda, using the image as reference) 
7. **How would you prepare the final order, both Turkish Coffee and Turkish Soda, to serve the customer?** (Please give step-by-step instructions on how you would prepare the order and place it in the order tray)"
https://images.pexels.com/photos/2199190/pexels-photo-2199190.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

Imagine you are a **mobile barista robot** in a trendy coffee shop.  You have been programmed to assist customers with their orders and prepare their drinks. The shop is busy with customers, and you notice a few items are running low.

## Questions:

1.  **A customer approaches the counter asking for a chai latte. What steps should you take to fulfill their order?** 
2.  **You notice the milk frother is empty. Where should you go to refill it?** 
3.  **The sugar packets are almost out. How do you restock them?**
4.  **The coffee beans container looks empty. Explain how you would restock it. **
5. **What is the most efficient way to alert a human barista that you need more milk frother?** 
6.  **A customer is looking for a table to sit down, how do you help them find one?**"
https://images.pexels.com/photos/1995010/pexels-photo-1995010.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a barista robot in a coffee shop. A customer has ordered a ""Carrot Cake Slice"" and a ""Passion Fruit Cheesecake"". You need to take the order from the display and serve the customer.


## Questions:

1. **How would you get the ""Carrot Cake Slice"" for the customer?**
2. **How would you get the ""Passion Fruit Cheesecake"" for the customer?**
3. **What is the best way to carry both the ""Carrot Cake Slice"" and ""Passion Fruit Cheesecake"" to the customer?** 
4. **What would you do if the customer also wanted a ""Millionaire Shortbread""?**"
https://images.pexels.com/photos/1884579/pexels-photo-1884579.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a mobile robot assistant in a clothing store.  A customer asks you to get them a pair of jeans from the shelves. You can move around the store and interact with objects using your robotic arms and sensors.  

## Questions:

1. **How would you approach the shelves to find the jeans?**
2. **What are the steps you would take to identify the jeans and pick them up?**
3. **How would you safely transport the jeans to the customer?**"
https://images.pexels.com/photos/2245295/pexels-photo-2245295.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a delivery robot tasked with delivering orders to customers. You are currently in a bakery and have been asked to pick up an order for a customer. The order is for a croissant and a pain au chocolat.


## Questions:

1. **Where would you start looking for the croissant and the pain au chocolat?** 
2. **Which plate has the pain au chocolat?** 
3. **How would you get the pain au chocolat from the plate onto the tray without dropping it?**
4. **How would you approach the croissant?** 
5. **If you were to take the croissant and the pain au chocolat, what would you do next?**"
https://images.pexels.com/photos/3028500/pexels-photo-3028500.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a **shelf-stocking robot** in a supermarket. You are tasked with stocking the shelves with new beer bottles. You need to replace the old bottles with the new ones and keep the shelves organized.

## Questions:

1.  **Which shelf is the most full?** (What kind of visual information do you use to infer this? What is your step-by-step thought process? Can you identify each shelf based on its content?)
2.  **Where should the new bottles of ""Sapporo"" beer be placed?** (What kind of visual information would you use to infer this? What kind of information would you use to identify the correct shelf? How would you decide where to place the new bottles? What action would you take? )
3.  **What should you do to make sure the shelves are organized?** (What kinds of visual information are relevant to answering this question? What would you do to organize the shelves? Can you list steps in detail? )
4.  **How many different brands of beer are there on the shelves?** (How would you count the brands? What kind of information would you use to identify different brands?  )
5.  **Which shelf contains only canned beer?** (What information would you look for to differentiate between bottles and cans? How would you identify the shelf based on the beer packaging?)
6.  **Which shelf has the least amount of space available?** (What kind of information would you use to assess the available space? How would you decide which shelf has the least space?) 
7.  **Are there any empty spaces on the shelves?** (What kind of visual cues would you look for to answer this question?)"
https://images.pexels.com/photos/709567/pexels-photo-709567.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a mobile robot tasked with assisting a vendor at a busy fruit market. You are equipped with a manipulator arm, sensors to detect and identify different fruits, and a communication system to interact with the vendor. 

## Questions:

1. **What is the vendor's most popular fruit, based on the image?**  (Focus on identifying the fruit based on quantity/placement/other visual cues)
2. **What steps would you take to help the vendor restock the most popular fruit?** (Assume the robot has access to a nearby storage area with additional fruit)
3. **Identify three types of fruits that require careful handling and explain how you would safely handle them.** (Focus on reasoning about the fruits' physical properties based on the image)
4. **The vendor needs to deliver a specific order of fruits. The order contains one mango, two oranges, and five bananas. Describe the steps you would take to fulfill the order.** (Focus on navigating the environment, picking specific fruits, and placing them into a container)"
https://images.pexels.com/photos/1458681/pexels-photo-1458681.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a delivery robot, tasked with delivering a package to the ""Nails & Coffee"" store. You are currently outside the store and need to find a way to reach the entrance. 

## Questions:

1. **What is the best way to get to the entrance of the store?** (Explain the reasoning behind your choice based on the image)
2. **How would you approach the door to ensure you don't bump into anything or anyone?**
3. **What kind of actions would you take to ensure a smooth delivery once you are inside the store?**"
https://images.pexels.com/photos/1539966/pexels-photo-1539966.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a delivery robot tasked with delivering flowers to the Bering Flowers shop. You are equipped with a basket on your front and can move around freely.  The flowers are already loaded in your basket. 

## Questions:

1.  How would you get to the shop to deliver the flowers? (Provide step-by-step instructions.)
2.  What is the best way to unload the flowers? (Provide a step-by-step approach.) 
3.  Once you've delivered the flowers, what should you do next? (Provide step-by-step instructions.)"
https://images.pexels.com/photos/276724/pexels-photo-276724.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a delivery robot (similar to a Roomba) in a living room. Your task is to deliver a package to the customer. 

## Questions:

1.  Where should you place the package? Explain your reasoning. How would you reach that place?
2.  Are there any obstacles you need to avoid while delivering the package? Explain your reasoning and how you would avoid these obstacles.
3.  The customer needs some items from the bookshelf.  Explain how would you get the items to the customer."
https://images.pexels.com/photos/2079246/pexels-photo-2079246.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a mobile robot in a living room. Your goal is to clean up the room and make it more presentable for a guest arriving soon.

## Questions:

1. **What objects in the image need to be cleaned?** 
    * Explain your reasoning for each object selected.
    * Describe the steps you would take to clean each object, considering your capabilities as a robot. 

2. **What objects are in the way of cleaning the objects you identified in question 1?**
    * Explain your reasoning for each object identified as an obstacle.
    * Describe the steps you would take to move the objects in the way of cleaning, considering your capabilities as a robot.

3. **What objects can you move to make the living room more presentable?**
    * Explain your reasoning for each object selected.
    * Describe the steps you would take to move each object, considering your capabilities as a robot."
https://images.pexels.com/photos/1080696/pexels-photo-1080696.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a robotic butler (a wheeled, articulated robotic arm with a gripper hand) in a modern home. The homeowner has requested you to set the table for lunch. 

## Questions:

1. **Identify the items on the table that need to be moved to set the table.**

    *  How would you approach this task? 
    *  What steps would you take to identify and move these items?

2. **Find the four chairs that are missing from the table.**

    *  How would you find the missing chairs? 
    *  Where would you look for them? 
    *  Describe the steps you would take to move each chair to the table. 

3. **Arrange the chairs around the table in a way that is comfortable for dining.**

    *  Describe the steps you would take to position each chair correctly around the table.
    *  Consider any factors that might influence your chair placement decisions."
https://images.pexels.com/photos/1129413/pexels-photo-1129413.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a delivery robot tasked with delivering a package to a customer. You have arrived at the customer's address, which is a cafe. You see the package placed on the counter, and you need to pick it up and deliver it to the customer who is sitting at the table.

## Questions: 

1.  What is the first step you should take? 
2.  What is the next step you should take after you have picked up the package?
3.  How would you make sure you deliver the package to the correct customer?
4. How would you navigate through the cafe to reach the customer's table without bumping into anything or anyone? 
5. How would you safely deliver the package to the customer at the table?"
https://images.pexels.com/photos/462235/pexels-photo-462235.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a mobile robot, tasked with helping a child set up their bed for a sleepover. The child's bed is already made, but they need assistance in arranging the pillows and placing a book and a cup on the bed.  

## Questions:

1.  **How can you get the book and cup from the floor and place them on the bed?** (This question requires the robot to identify the objects and their locations, plan a path, and describe the actions for picking up and placing the objects.)
2.  **What are the different ways you can arrange the pillows on the bed, and how can you achieve each arrangement?** (This question requires the robot to analyze the current pillow arrangement, identify possible configurations, and describe the movements involved in rearranging the pillows.)
3.  **How can you ensure the child is happy with the final arrangement of pillows and objects?** (This question requires the robot to consider the child's preferences and understand their potential feedback for adapting the arrangement.)"
https://images.pexels.com/photos/271816/pexels-photo-271816.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario: 

You are a mobile robot tasked with organizing a small home office. The owner has requested that you tidy up the room and ensure that everything is in its proper place.

## Questions: 

1. **Describe the objects in the room and their positions.** What is the most logical way to organize the books, the toy car, the lamp, and the decorative plant? Where should each item be placed?
2. **How would you move the toy car to the corner of the room?** Describe the specific steps you would take to accomplish this, considering any obstacles and your own physical limitations.
3. **The owner wants to display a framed photograph of a mountain range on the bookshelf to the left. How would you accomplish this task?** Provide a step-by-step explanation of how you would reach the shelf and safely place the photograph without knocking over any books. 
4. **The owner needs to access the books on the top shelf of the bookshelf on the right. How would you help them reach the books?** Explain the steps you would take to move the object in your path and allow access to the shelf.
5. **The owner would like the lamp to be placed on the bookshelf on the right. Describe the steps you would take to move the lamp to the bookshelf.**
6. **How would you make sure the lamp is not blocking the books on the bookshelf?** What steps would you take to adjust the lamp's position?"
https://images.pexels.com/photos/259962/pexels-photo-259962.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a delivery robot tasked with delivering a package to the living room of this house. You have been programmed to avoid obstacles and navigate through doorways.

## Questions:

1.  **What is the best path to take to reach the living room?** 
    *  **Explain step-by-step the reasoning behind your path choice, taking into account potential obstacles and doorways.**
2.  **Can you describe the optimal route, considering the presence of furniture and other objects?**
    *  **Provide a detailed step-by-step approach for navigating the space, highlighting the actions you would take at each step.** 
3.  **What is the safest and most efficient way to move around the living room, while avoiding any potential collisions?** 
    * **Explain the steps you would take to reach the living room safely, considering the obstacles and potential dangers you might encounter.**"
https://images.pexels.com/photos/380769/pexels-photo-380769.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario:

You are a **mobile robot assistant** tasked with helping a team of designers in their office. The team is working on a new project and needs some supplies.

## Questions:

1.  **What supplies might the team need that you can bring them from the shelf in the background?**  Explain your reasoning and how you would navigate to get the supplies. 
2.  **One of the designers has asked you to grab a laptop from the table. Which one should you pick up?** Explain how you can determine which laptop belongs to the designer. 
3.  **The designer asks you to place a water bottle on the table. Where would you place it?**  Explain your reasoning based on the arrangement of items on the table. 
4.  **How would you move to the shelf from the table to get the supplies?**  Describe your movements step-by-step. 
5.  **The team wants you to move a plant from the table to the windowsill. How would you do it?**  Outline the steps you would take to safely move the plant."
https://images.pexels.com/photos/1957477/pexels-photo-1957477.jpeg?auto=compress&cs=tinysrgb&w=1260&h=750&dpr=2,"## Scenario: 

You are a robotic assistant in an office. You have a set of tools and the ability to manipulate objects.  You need to set up the desk for a meeting. You will be using the tools you have, and the items already present on the desk to create a meeting-ready workspace.


## Questions:

1. **What items should be removed from the desk to prepare it for a meeting?**
2. **How would you organize the items that should be removed?**
3. **What would you do to make sure the desk is clean and ready for the meeting?**
4. **Imagine you are bringing some additional items like a notepad, a pen, and some coffee cups for the meeting. How would you place them on the desk in a way that is both functional and aesthetically pleasing?**
5. **After the meeting is over, what would be the steps to tidy up the desk and prepare it for the next day?**"
